text,intent
halt the sound,mute
pause the playback,mute
stop the audio,mute
check email updates,check_email_updates
any new emails,check_email_updates
email notifications,check_email_updates
new emails,check_email_updates
show me my emails,check_email_updates
do I have new emails,check_email_updates
are there any new emails,check_email_updates
any email alerts,check_email_updates
new email messages,check_email_updates
unread emails,check_email_updates
email update status,check_email_updates
check for emails,check_email_updates
see new emails,check_email_updates
remind me to,set_reminder
set a reminder for,set_reminder
create a reminder for,set_reminder
remind me at,set_reminder
remind me about,set_reminder
set a reminder to,set_reminder
remind me on,set_reminder
schedule a reminder for,set_reminder
make a reminder for,set_reminder
set a notification for,set_reminder
alert me to,set_reminder
notify me to,set_reminder
create a notification for,set_reminder
set an alarm for,set_alarm
wake me up at,set_alarm
create an alarm for,set_alarm
set a wake-up alarm for,set_alarm
set an alarm at,set_alarm
alarm for,set_alarm
wake me up by,set_alarm
schedule an alarm for,set_alarm
make an alarm for,set_alarm
alarm me at,set_alarm
set a morning alarm,set_alarm
set an evening alarm,set_alarm
wake-up alarm at,set_alarm
what's on my calendar for,check_calendar
do I have any events on,check_calendar
show my calendar for,check_calendar
what's scheduled for,check_calendar
any appointments on,check_calendar
check my calendar for,check_calendar
do I have anything on,check_calendar
calendar entries for,check_calendar
events planned for,check_calendar
appointments on my calendar,check_calendar
what's in my calendar for,check_calendar
calendar schedule for,check_calendar
do I have meetings on,check_calendar
play,play_music
start playing,play_music
play music by,play_music
play the song,play_music
play the album,play_music
play the playlist,play_music
start the music,play_music
put on some music,play_music
play a track,play_music
turn on the music,play_music
play some tunes,play_music
begin the music,play_music
initiate the music,play_music
stop music,stop_music
pause the song,stop_music
stop the music,stop_music
pause the music,stop_music
halt the music,stop_music
stop playing,stop_music
turn off the music,stop_music
end the music,stop_music
pause playback,stop_music
halt playback,stop_music
discontinue the music,stop_music
cease the music,stop_music
pause the track,stop_music
translate,translate
how do you say,translate
what's [phrase] in [language],translate
translate [phrase] to [language],translate
convert [phrase] to [language],translate
translate the word,translate
how to say [phrase] in [language],translate
translate this phrase,translate
what is [phrase] in [language],translate
how do I say [phrase] in [language],translate
translate text to [language],translate
how is [phrase] said in [language],translate
how to translate [phrase] into [language],translate
how do you translate [phrase] to [language],translate
what's my battery level,battery_status
how much battery do I have left,battery_status
battery status,battery_status
how much charge is left,battery_status
battery percentage,battery_status
what's the battery at,battery_status
check battery level,battery_status
remaining battery,battery_status
battery life,battery_status
current battery status,battery_status
battery power remaining,battery_status
battery capacity left,battery_status
device battery level,battery_status
how much storage is left on my device,storage_status
what's my device storage status,storage_status
storage status,storage_status
available storage,storage_status
remaining storage,storage_status
check storage,storage_status
how much space do I have left,storage_status
storage capacity left,storage_status
device storage remaining,storage_status
free storage,storage_status
device storage capacity,storage_status
available space on my device,storage_status
remaining capacity,storage_status
Tell me a joke,Joke and Comedy
Do you know any jokes,Joke and Comedy
Make me laugh,Joke and Comedy
Tell me something funny,Joke and Comedy
Give me a comedy,Joke and Comedy
Share a joke with me,Joke and Comedy
Can you tell a joke,Joke and Comedy
I need a laugh,Joke and Comedy
Do you have a funny story,Joke and Comedy
Make me giggle,Joke and Comedy
Tell me a funny joke,Joke and Comedy
Do you know a good joke,Joke and Comedy
I want to hear a joke,Joke and Comedy
Crack a joke,Joke and Comedy
Cheer me up with a joke,Joke and Comedy
